fecha,consumo_total,generacion_total,precio_kwh,precio_excedente
2021-08-21 19:00:00,5.887597909653673,0.016684198195770147,0.14569,0.11452
2021-08-21 20:00:00,5.820735677325613,0.0,0.1527,0.11894
2021-08-21 21:00:00,6.9223637873967325,0.0,0.15769,0.12284
2021-08-21 22:00:00,6.997716953339984,0.0,0.15383000000000002,0.11894
2021-08-21 23:00:00,6.306606726104932,0.0,0.1505,0.11491
2021-08-22 00:00:00,5.4126407909499665,0.0,0.14368999999999998,0.10981
2021-08-22 01:00:00,5.006680741634648,0.0,0.14228,0.10884
2021-08-22 02:00:00,4.368415535387118,0.0,0.13893,0.10535
2021-08-22 03:00:00,3.993877285523745,0.0,0.14196,0.10694
2021-08-22 04:00:00,3.8268251026040443,0.0,0.13855,0.10438
2021-08-22 05:00:00,3.9985786854047807,0.0,0.13454,0.10144
2021-08-22 06:00:00,3.6466984993694638,0.07655126134796814,0.14036,0.10715999999999999
2021-08-22 07:00:00,3.6503150630013277,2.7472259312134257,0.14096,0.10754999999999999
2021-08-22 08:00:00,3.5614345272254817,9.16028931946396,0.13947,0.10513
2021-08-22 09:00:00,4.3978093366967395,16.511235887891136,0.13116999999999998,0.09902
2021-08-22 10:00:00,5.429133458631076,23.07791186536504,0.11856,0.09007
2021-08-22 11:00:00,5.836419234209107,26.141375682022662,0.11828,0.09008
2021-08-22 12:00:00,6.066834395390657,27.846026585194736,0.12785,0.09873
2021-08-22 13:00:00,6.247200359254465,27.87530675843818,0.13748,0.1077
2021-08-22 14:00:00,6.491472120357306,25.956856978961603,0.13734,0.1076
2021-08-22 15:00:00,6.170420392274148,21.730664964285843,0.11576,0.08804000000000001
2021-08-22 16:00:00,5.744387309634387,15.573964560437348,0.11572,0.08801
2021-08-22 17:00:00,5.738784338361339,8.53297935769567,0.11584,0.08798
2021-08-22 18:00:00,5.834509436797986,2.61682184065967,0.1161,0.08803
2021-08-22 19:00:00,5.661912453759012,0.014884514185557906,0.12436,0.09484000000000001
2021-08-22 20:00:00,5.714748011220083,0.0,0.13427,0.09985
2021-08-22 21:00:00,6.432598495096224,0.0,0.14295,0.10823
2021-08-22 22:00:00,6.903964113077714,0.0,0.14169,0.10784
